,Автор,Название картины,Ссылка на картину,Описание,Год,Размер,Материал,Техника,Жанр,Стиль,Галерея
10,Айвазовский Иван,Большой рейд в Кронштадте,https://opisanie-kartin.ru/ajvazovskij-ivan/bolshoj-reid-v-kronshtadte/,"  «Большой рейд в Кронштадте» — одна из самых ранних работ Авазовского. На холсте изображены морской порт города Кронштадт, который располагается всего в 26 километрах от Санкт-Петербурга, прямо посреди Финского залива, и величественный военный парусник. Написать это потрясающее полотно Айвазовского побудили впечатления от поездки в летнее учебное плавание кораблей Балтийского флота по Финскому заливу, куда молодой художник отправился в 1836 году. Это полотно в этом же году было представлено на осенней выставке в Академии, а после ее окончания художника отметили как одного из лучших пейзажистов России, и все его работы получили высокую оценку специалистов. ", 1836.," 71,5 х 93 см.", холст., масло., марина., романтизм.," Государственный Русский музей, Санкт-Петербург, Россия."
11,Айвазовский Иван,Лунная ночь на Босфоре,https://opisanie-kartin.ru/ajvazovskij-ivan/lunnaya-noch-na-bosfore/,  , 1884., нет данных., холст., масло., городской пейзаж., романтизм., нет данных.
12,Айвазовский Иван,В шторм,https://opisanie-kartin.ru/ajvazovskij-ivan/v-shtorm/,  , 1872., 72 x 92 см., холст., масло., марина., романтизм., нет данных.
13,Айвазовский Иван,Портрет Лорис-Меликова,https://opisanie-kartin.ru/ajvazovskij-ivan/portret-loris-melikova/,  , 1888., нет данных., холст., масло., портрет., романтизм., нет данных..
14,Айвазовский Иван,Пушкин на берегу Черного моря,https://opisanie-kartin.ru/ajvazovskij-ivan/pushkin-na-beregu-chernogo-morya/,  , 1887., 212 x 314 см., холст., масло., пейзаж., романтизм.," Художественный музей им. В.В. Верещагина, Николаев, Украина."
15,Айвазовский Иван,Вид Тифлиса от Сейд-Абаза,https://opisanie-kartin.ru/ajvazovskij-ivan/vid-tiflisa-ot-seid-abaza/,  , 1868., 36 x 47 см., холст., масло., городской пейзаж., романтизм., нет данных.
16,Айвазовский Иван,Бриг «Меркурий,https://opisanie-kartin.ru/ajvazovskij-ivan/brig-merkurij-atakovannyj-dvumya-tureckimi-korablyami/,  , 1892., 339 x 212 см., холст., масло., марина., романтизм., нет данных.
17,Айвазовский Иван,Радуга,https://opisanie-kartin.ru/ajvazovskij-ivan/raduga/,"  К 1973 году среди критиков появились мнения о том, что Айвазовский устарел, вышел в тираж, как сказали бы в наше время. В ответ на это, великий маринист написал картину «Радуга», которая не только доказала всем обратное, но и стала поворотной в его творчестве. На первый взгляд, на картине запечатлен стандартный для Айвазовского сюжет: беснующееся море, гибель корабля. Но, используя отточенные приемы и техники, художник модернизирует их, хорошо это видно при анализе колорита картины. На полотне изображен парусник после кораблекрушения, силуэт его сильно размыт брызгами и водной пылью, поднятыми сильным ветром. Из-за этого так же сильно размыты очертания береговых скал. Небо практически слилось с бушующим морем. Смелые яркие цветовые решения, как на полотне «Девятый вал», на этой картине становятся более сдержанными, хорошо отточенными. Цветовые оттенки и переходы отличаются особой изысканностью. Буря уже почти закончилась, и солнечный свет, пробивающийся через рваные тучи, создает едва видную радугу, предвещающую скорое спасение. Несмотря на трагический сюжет, настроение картины позитивное. Видно, что смертный бой морской стихии и человека окончился победой последнего. И радуга здесь используется как символ спасения, как луч надежды. ", 1848., 102 x 132 см., холст., масло., марина., романтизм.," Государственная Третьяковская галерея, Москва, Россия."
18,Айвазовский Иван,Вид Леандровой башни в Константинополе,https://opisanie-kartin.ru/ajvazovskij-ivan/vid-leandrovoj-bashni-v-konstantinopole/,  , 1848., 58 x 45 см., холст., масло., марина., романтизм.," Государственная Третьяковская галерея, Москва, Россия."
19,Айвазовский Иван,Босфор в лунную ночь,https://opisanie-kartin.ru/ajvazovskij-ivan/bosfor-v-lunnuyu-noch/,"  Все творчество и вся жизнь Ивана Айвазовского была связана с морем. Обладая феноменальной зрительной памятью, он смог передать на своих картинах даже мельчайшие детали с фотографической точностью и изобразить стихию воды так достоверно, как никто до него. На картине «Босфор в лунную ночь» художник изобразил водную гладь пролива Босфор во время полнолуния. Работа наполнена спокойствием и безмятежностью, максимальная реалистичность изображения приковывает взгляд, от нее невозможно оторваться. Среди спящих кораблей со спущенными парусами бесшумно скользят небольшие лодки с рыбаками. Полная луна на безоблачном небе дает возможность зрителю рассмотреть не только близлежащий причал с кораблями возле него, но и горы, в отдалении окружающие пролив. Поистине поражает мастерство художника, способного настолько точно передать водную гладь, освещенную ночным светилом. Способность Айвазовского уловить и запечатлеть на холсте невесомое дыхание и едва заметное движение морского пейзажа, делает его, пожалуй, величайшим художником-маринистом. ", 1874., 73 х 94 см., холст., масло., марина., романтизм., нет данных.
20,Айвазовский Иван,Автопортрет,https://opisanie-kartin.ru/ajvazovskij-ivan/avtoportret-2/,  , 1892., нет данных., нет данных., нет данных., автопортрет., романтизм., нет данных.
21,Айвазовский Иван,Георгиевский монастырь,https://opisanie-kartin.ru/ajvazovskij-ivan/georgievskij-monastyr/,  , 1846., 123 x 193 см., холст., масло., пейзаж., романтизм.," Феодосийская картинная галерея, Крым, Россия."
22,Айвазовский Иван,Вечер на море,https://opisanie-kartin.ru/ajvazovskij-ivan/vecher-na-more/,"  И жизнь, и творчество Ивана Айвазовского были неразрывно связаны с морем. Поэтому главный герой практически всех его картин — стихия воды. С ростом Айвазовского как художника можно заметить и перемены в его творчестве — ранние его работы полны динамики, буйства стихии, но с годами штормы и бури утихают, картины становятся более реалистичными. Написанная в 1871 году картина «Вечер на море» относится к позднему, зрелому периоду творчества Айвазовского. Море полностью спокойно, изображено очень реалистично, и не представляет никакой опасности для людей на берегу — один из них решил окунуться в его прохладные спокойные воды. Композиция картины оригинальна — выбранный художником угол зрения, с одной стороны, показывает бесконечную водную гладь, а с другой создает замкнутость пространства. Художник добился этого ограничив водную поверхность густыми облаками на горизонте и береговой линией на переднем плане. Небольшой фрагмент спокойного моря, изображенный на картине, легко освещен лучами вечернего солнца. Настроение картины Айвазовского «Вечер на море» бесконфликтно, уравновешено, полно спокойствия и гармонии. Работы выполнена очень реалистично, не имеет ярких красочных акцентов и цветовых пятен, художник использовал светлые краски. Такой стиль написания картин характерен для позднего периода творчества Ивана Айвазовского. ", 1871., нет данных., нет данных., нет данных., марина., романтизм., нет данных.
23,Айвазовский Иван,Буря на море ночью,https://opisanie-kartin.ru/ajvazovskij-ivan/burya-na-more-nochyu/,"  Айвазовский писал море в любое время суток. Изумительны ночные пейзажи И. К. Айвазовского. Среди них – «Неаполитанский залив в лунном свете», «Лунная ночь на Капри», «Море в лунном свете» и др. Одна из самых известных картин художника на эту тему – «Буря на море ночью», написанная в 1848 году. Художник изобразил неспокойное бушующее море и одинокий корабль, противостоящий натиску стихии. Ночь. Луна, выглядывая из-за разорванных ветром остатков туч, как всегда невозмутимо наблюдает за происходящим. Человек не сдастся, благодаря своей жизнестойкости и воле он обязательно одержит победу в этой жестокой схватке со стихией. Удивительный эффект на зрителя производит картина. Море не кажется застывшим, мертвым – бурлящие волны сменяют друг друга абсолютно естественно, и море как будто по-настоящему «дышит». Стоя рядом с полотном, зритель как будто даже слышит рокот волн и ощущает, что на него вот-вот покатится настоящая волна. Картина отличается темной сдержанной колористической гаммой. Большую роль в картине играет свет. Художник в точности передает эффекты, которые создает лунный свет на поверхности волнующегося моря. Лунный свет, мощным потоком прорезающий тьму, — как символ жизни и вечности, он словно вещает о спасении корабля. Картина «Буря на море ночью» с большим мастерством передает состояние природы – состояние моря, движение облаков. Страстная, проникновенная, эта картина является одним из самых поэтических изображений моря в русской живописи 19 века.  ", 1849., 89 x 106 см., холст., масло., марина, романтизм.," Дворцы-музеи и парки Петродворца, Петергоф, Россия."
24,Айвазовский Иван,Одесса ночью,https://opisanie-kartin.ru/ajvazovskij-ivan/odessa-nochyu/,"  Иван Айвазовский, прожив всю свою жизнь у моря не мог не проникнуться его величием и красотой, которые воспевал практически в каждом своем произведении. Как и многие другие работы, «Одесса ночью» была написана им по памяти, по паре набросков, сделанных несколько месяцев ранее. Весь изображенный пейзаж подчиняется одному ритму, одной идее. Освещенный слабым ночным светом ряд домов, идущий в правой части, сливается с окружающей природой и словно растворяется. Яркая луна, хотя и позволяет увидеть морскую гладь, не дотягивается до темных берегов, укрытых ночной тьмой. Картина «Одесса ночью» наполнена динамикой, она зовет зрителя вперед, туда, где непривычно желтое пятно лунного света ярче всего. Каждая фигура, изображенная художником, несет свою смысловую нагрузку; колорит картины спокоен, но яркое пятно в середине символизирует движение вперед, к будущему. ", 1846., нет данных., холст., масло., городской пейзаж., романтизм., нет данных.
25,Айвазовский Иван,Черное море,https://opisanie-kartin.ru/ajvazovskij-ivan/chernoe-more/,"  Глядя на морской пейзаж, изображенный на картине Ивана Айвазовского «Черное море» невольно ощущаешь прикосновение крепкого ветра, шум совсем не маленьких волн, как будто сам присутствуешь на картине посреди волнующегося безбрежного Черного моря. Композиция картины состоит из двух практически равных частей — хмурого низко нависшего неба и беспокойной, почти черной воды. Линия горизонта разделяет эти две стихии, которые, кажется, стремятся слиться воедино. Облака, почти белые и воздушные в правой части картины, в правой становятся темными тучами — приближается шторм. Свет солнца, еще не совсем закрытого тучами, играет на гребнях метущихся волн. Где-то далеко на горизонте виднеются очертания парусника; что делает он там, где скоро начнется буря? Может быть, торопится поскорее домой, в родную гавань, где сможет укрыться от надвигающейся непогоды? Волны на картине приходя из-за горизонта неумолимо движутся на зрителя, создавая особый эффект присутствия. Этой картиной Айвазовский продемонстрировал свой главный талант — умение не только реалистично показать волнующуюся водную гладь, но и показать стихию воды, в данном случае Черное море, неким живым организмом, со своим особым ритмом, дыханием. ", 1881., нет данных., холст., масло., марина., романтизм.," Государственная Третьяковская галерея, Москва, Россия."
26,Айвазовский Иван,Вид Петербурга,https://opisanie-kartin.ru/ajvazovskij-ivan/vid-peterburga/,"  Основное стилистическое направление творчества Ивана Айвазовского — это морские пейзажи, именно в этом жанре художник достиг необычайных высот.  Тем не менее, у Айвазовского встречаются и другие картины. Например, на картине «Вид Петербурга» нет моря, но есть водная гладь реки — воды Невы, кажется занимают все пространство холста, дома тщетно пытаются удержать их. Затянутое облаками бесконечное небо незаметно для зрителя перетекает в безбрежную водную гладь. Заходящее солнце едва-едва играет бликами на воде, его света уже недостаточно для того, чтобы определить где кончается вода и начинается небо. Художник написал и небо, и реку практически одним цветом — светло-серым, серо-бирюзовым. На этом полотне, как и на всех остальных у Ивана Айвазовского, главным персонажем является вода в разных образах: реки или моря. Петропавловский собор, Биржа, Зимний дворец в этом грандиозном спектакле всего лишь декорации для демонстрации величия реки. На картине представлены практически все достопримечательности Санкт-Петербурга, а так же показана активная жизнь города и реки того времени. Петербург всегда оставался для Айвазовского особым местом — здесь произошло полное становление его как художника. Своей картиной «Вид Петербурга», как и многими другими своими работами показывает грандиозность и величие стихии воды, в данном случае — реки Невы. Это полотно гораздо меньше знакомо зрителям, чем работы с видами Петербурга, написанные ранее. Картина полна признаками позднего Айвазовского — спокойная вода, описание обычных, будничных событий. ", 1888., нет данных., холст., масло., городской пейзаж., романтизм.," Национальная галерея Армении, Ереван."
27,Айвазовский Иван,Чесменская битва,https://opisanie-kartin.ru/ajvazovskij-ivan/chesmenskaya-bitva/,  , 1886., нет данных., холст., масло., батализм., романтизм., нет данных.
28,Айвазовский Иван,Биржа Петербурга,https://opisanie-kartin.ru/ajvazovskij-ivan/birzha-peterburga/,  , 1847., 81 x 116 см., холст., масло., городской пейзаж., романтизм., нет данных.
29,Айвазовский Иван,Море. Коктебель,https://opisanie-kartin.ru/ajvazovskij-ivan/more-koktebel/,"  Всю жизнь объектом неослабевающей любви для Айвазовского оставалось море. Его картины – своеобразная морская энциклопедия, из которой можно в подробностях узнать, как выглядит и как ведет себя морская стихия в любое время суток, в любое время года и при любой погоде. Этот морской пейзаж создан Айвазовским в 1853 году, в период бурного подъема его творческой активности. Картина хорошо отражает непосредственность чувств художника и тот романтический настрой, которым было проникнуто его творчество в данный период жизни. На картине мы видим вид на Коктебельскую бухту во время заката. Почти всю площадь холста занимает изображение взволнованного моря и высокого, в пышных облаках, неба. Вдали виднеется изящный силуэт легендарного Кара-Дага. На небе уже показался тонкий серп месяца. Все вокруг залито золотисто-розовым светом заходящего солнца. Неторопливо накатывают на берег волны. Воздух свеж и прозрачен. Небольшой парусник, борющийся с усиливающимся ветром, подчеркивает романтическое настроение полотна. Полотно «Море» отличается законченностью композиции и высоким мастерством исполнения. Айвазовский искусно передает прозрачность зеленоватой волны. Когда она набегает на берег, сквозь кружево ее пены хорошо виден прибрежный песок. Яркая, артистически выполненная, картина «Море. Коктебель» относится к числу самых выразительных и совершенных картин художника. ", 1853., 85 x 121 см., холст., масло., марина, романтизм.," Феодосийская картинная галерея имени И. К. Айвазовского, Феодосия, Крым."
30,Айвазовский Иван,Тонущий корабль,https://opisanie-kartin.ru/ajvazovskij-ivan/tonusshij-korabl/,  , 1854., нет данных., холст., масло., марина., романтизм., нет данных.
31,Айвазовский Иван,Десант в Субаши,https://opisanie-kartin.ru/ajvazovskij-ivan/desant-v-subashi/,  , 1880., нет данных., холст., масло., марина., романтизм., нет данных.
32,Айвазовский Иван,Буря,https://opisanie-kartin.ru/ajvazovskij-ivan/burya/,  , 1850., 82 x 117 см., холст., масло., пейзаж., романтизм., нет данных.
33,Алексеев Федор,Северная сторона Красной площади,https://opisanie-kartin.ru/alekseev-fedor/severnaya-storona-krasnoj-plosshadi/,  , 1802., нет данных., нет данных., нет данных., ведута., неоклассицизм., нет данных.
34,Алексеев Федор,Вид города Николаева,https://opisanie-kartin.ru/alekseev-fedor/vid-goroda-nikolaeva/,  , 1799., нет данных., холст., масло., ведута., неоклассицизм.," Государственная Третьяковская галерея, Москва, Россия."
35,Алексеев Федор,Вид от Спасских ворот,https://opisanie-kartin.ru/alekseev-fedor/vid-ot-spasskih-vorot/,  , 1800., нет данных., нет данных., нет данных., ведута., неоклассицизм., нет данных.
36,Алексеев Федор,Коломенское,https://opisanie-kartin.ru/alekseev-fedor/kolomenskoe/," там была построена церковь Воскресения, широко известная за пределами села. В 1825 году в селе был построен Екатерининский Дворец. Именно эту часть села решил запечатлеть на своём полотне Фёдор Алексеев. На переднем плане художник изобразил небыструю речку с пересекающим её деревянным мостиком. Привязанная лодка, качаясь на волнах, кажется очень утлой. На картине изображена поздняя весна или начало лета. Холм справа ярко зеленеет молодой травой. Из-за рощицы видны церковь Вознесения и Екатерининский Дворец. Центральным элементом заднего плана является огромная башня церкви Господнего Вознесения. ", 1805., нет данных., нет данных., нет данных., ведута., неоклассицизм., нет данных.
37,Алексеев Федор,Иллюминация на Соборной площади по случаю коронации Александра I,https://opisanie-kartin.ru/alekseev-fedor/illyumainaciya-na-sobornoj-plosshadi-po-sluchayu-koronacii-aleksandra-i/,  , 1802., нет данных., нет данных., нет данных., ведута., неоклассицизм., нет данных..
38,Алексеев Федор,Вид на Биржу и Адмиралтейство от Петропавловской крепости,https://opisanie-kartin.ru/alekseev-fedor/vid-na-birzhu-i-admiralteistvo/,  , 1810., нет данных., холст., масло., ведута., неоклассицизм.," Государственная Третьяковская галерея, Москва, Россия."
39,Алексеев Федор,Сиротский дом в Москве,https://opisanie-kartin.ru/alekseev-fedor/sirotskij-dom-v-moskve/,  , 1800., нет данных., нет данных., нет данных., ведута., неоклассицизм.," Эрмитаж, Санкт-Петербург, Россия."
40,Алексеев Федор,Троицкий монастырь и Сергиева лавра,https://opisanie-kartin.ru/alekseev-fedor/troickij-monastyr-i-sergievskaya-lavra/,  , 1800., нет данных., бумага.," чернило, акварель.", ведута., неоклассицизм.," Эрмитаж, Санкт-Петербург, Россия."
41,Алексеев Федор,Красная площадь в Москве,https://opisanie-kartin.ru/alekseev-fedor/krasnaya-plosshad-v-moskve/,", высоко ценивший его художественный талант, повелел написать картины с видами Москвы. Для этого художник тщательно ознакомился с жизнью большого города и его жителей, привычками и обычаями москвичей, с достопримечательностями первопрестольной столицы. Из этого интереснейшего знакомства Алексеев вынес столько интересного и замечательного, что впоследствии написал целый цикл картин, посвященных Москве и ее окрестностям того времени. Красная площадь — краса и гордость Москвы. На своей картине «Красная площадь в Москве» автор с доскональным реализмом описывает постройки, расположенные на площади. В центре композиции находится основная достопримечательность Москвы и символ Руси — Собор Василия Блаженного. Возвышаясь над площадью, он словно благославляет всех людей, собравшихся на историческом месте, на добро и славу. ", 1801.," 81,3 × 110,5 см.", холст., масло., ведута., неоклассицизм.," Государственная Третьяковская галерея, Москва, Россия."
